SiteID,BrandID,BrandName,PetrolStationName,Address,Postcode,Lat,Lng,FuelId,FuelName,Price,TransactionDateUtc,collection_datetime,collection_date
61205460,169,On the Run,OTR Dry Creek,11 Vader Street,5094,-34.819297,138.592116,2,Unleaded,1529.0,2022-08-24T03:49:00,2022-08-24 14:00:15.666239,2022-08-24
61501009,169,On the Run,OTR Pulteney Street,139 Angas St & Pulteney St,5000,-34.930514,138.605942,2,Unleaded,1549.0,2022-08-24T03:49:00,2022-08-24 14:00:15.666239,2022-08-24
61501012,111,Coles Express,Coles Express West Terrace,111 West Tce & Grote St,5000,-34.929914,138.588479,2,Unleaded,1549.0,2022-08-24T01:15:47.343,2022-08-24 14:00:15.666239,2022-08-24
61501014,169,On the Run,OTR Cavan Outbound Drive Thru,113-117 Port Wakefield Road,5094,-34.832464,138.598572,2,Unleaded,1499.0,2022-08-24T03:50:00,2022-08-24 14:00:15.666239,2022-08-24
61501019,111,Coles Express,Coles Express Modbury North,432 Montague Rd & Deborah Gr,5092,-34.829138,138.671545,2,Unleaded,1499.0,2022-08-23T01:00:52.27,2022-08-24 14:00:15.666239,2022-08-24
61501020,111,Coles Express,Coles Express Valley View Wright Rd,267 Wright Rd & Rutherford St,5093,-34.835498,138.653462,2,Unleaded,1529.0,2022-08-22T02:15:52.473,2022-08-24 14:00:15.666239,2022-08-24
61501024,23,United,United Pooraka,876 Main North Rd & Diagonal Rd,5095,-34.826301,138.615323,2,Unleaded,1459.0,2022-08-24T03:52:12.72,2022-08-24 14:00:15.666239,2022-08-24
61501025,23,United,United Pooraka,895 Main North Rd,5095,-34.825525,138.616713,2,Unleaded,1495.0,2022-08-23T23:17:40.277,2022-08-24 14:00:15.666239,2022-08-24
61501026,112,Caltex Woolworths,Caltex Woolworths Blair Athol,355 Prospect Rd & Trigg St,5082,-34.863349,138.592544,2,Unleaded,1499.0,2022-08-24T03:45:00,2022-08-24 14:00:15.666239,2022-08-24
61501027,2,Caltex,Caltex North Adelaide,131-139 O'Connell St & Gover St,5006,-34.904949,138.595323,2,Unleaded,1499.0,2022-08-24T02:05:00,2022-08-24 14:00:15.666239,2022-08-24
61501029,169,On the Run,OTR Prospect,70 Prospect Rd & Marian Pl,5082,-34.891152,138.593874,2,Unleaded,1519.0,2022-08-24T03:50:00,2022-08-24 14:00:15.666239,2022-08-24
