SiteID,BrandID,BrandName,PetrolStationName,Address,Postcode,Lat,Lng,FuelId,FuelName,Price,TransactionDateUtc,collection_datetime,collection_date
61290151,12,Independent,Surat 24/7 Fuel,61 Burrowes St,4417,-27.151747,149.067752,2,Unleaded,1799.0,2023-02-13T06:26:40.907,2023-03-06 14:00:05.320909,2023-03-06
61291313,5,BP,Lowes Mungindi Opt,126 Barwon Street,4497,-28.973667,148.983999,2,Unleaded,1890.0,2023-02-22T21:38:04.41,2023-03-06 14:00:05.320909,2023-03-06
61401007,113,7 Eleven,7-Eleven Coomera,Pacific Highway,4209,-27.868631,153.314186,2,Unleaded,1999.0,2023-03-05T18:28:01.75,2023-03-06 14:00:05.320909,2023-03-06
61401008,3421073,EG Ampol,EG Ampol Oxenford,116 Old Pacific Hwy & Cottonwood Pl,4210,-27.891187,153.313379,2,Unleaded,1939.0,2023-03-06T02:45:00,2023-03-06 14:00:05.320909,2023-03-06
61401010,111,Coles Express,Coles Express Nerang,6-8 Ferry Street,4211,-27.990212,153.337273,2,Unleaded,1749.0,2023-03-05T21:30:38.407,2023-03-06 14:00:05.320909,2023-03-06
61401011,3421066,Ampol,Ampol Foodary Nerang South, Cnr Pappas Wy West & Hinkler Dr,4211,-28.007124,153.341326,2,Unleaded,1739.0,2023-03-06T00:56:00,2023-03-06 14:00:05.320909,2023-03-06
61401013,5094,Puma Energy,Puma Broadbeach Waters,75 T E Peters Dr,4218,-28.026566,153.420652,2,Unleaded,1967.0,2023-03-04T21:01:35,2023-03-06 14:00:05.320909,2023-03-06
61401014,113,7 Eleven,7-Eleven Broadbeach,Hooker Bvd & Sunshine Bvd,4218,-28.035668,153.425077,2,Unleaded,1967.0,2023-03-05T18:28:01.75,2023-03-06 14:00:05.320909,2023-03-06
61401015,3421066,Ampol,Ampol Foodary Mudgeeraba,24 Railway Street,4213,-28.074705,153.363871,2,Unleaded,1749.0,2023-03-06T00:45:00,2023-03-06 14:00:05.320909,2023-03-06
61401017,3421066,Ampol,Ampol Foodary Reedy Creek South,2 Penny Lane,4227,-28.104933,153.406288,2,Unleaded,1765.0,2023-03-05T14:01:00,2023-03-06 14:00:05.320909,2023-03-06
61401019,110,Freedom Fuels,Freedom Fuels Varsity Lakes,Mattocks Rd & Cassia Dr,4220,-28.099718,153.419199,2,Unleaded,1979.0,2023-03-03T01:40:01.687,2023-03-06 14:00:05.320909,2023-03-06
61401020,3421066,Ampol,Ampol Foodary Coomera,22 Heathwood Dr,4209,-27.874732,153.312487,2,Unleaded,1935.0,2023-03-05T14:01:00,2023-03-06 14:00:05.320909,2023-03-06
61401023,3421073,EG Ampol,EG Ampol Runaway Bay,10 Lae Drive,4216,-27.912823,153.401908,2,Unleaded,1999.0,2023-03-06T02:45:00,2023-03-06 14:00:05.320909,2023-03-06
61401024,113,7 Eleven,7-Eleven Runaway Bay,20 Bayview St & Broadwater St,4216,-27.923584,153.403769,2,Unleaded,1999.0,2023-03-05T18:28:01.75,2023-03-06 14:00:05.320909,2023-03-06
61401025,3421066,Ampol,Ampol Foodary Labrador North,150 Brisbane Rd,4215,-27.935041,153.390893,2,Unleaded,1695.0,2023-03-05T14:01:00,2023-03-06 14:00:05.320909,2023-03-06
61401029,2,Caltex,Caltex Southport,168 Marine Pde,4215,-27.956735,153.409338,2,Unleaded,1997.0,2023-03-02T06:45:27.053,2023-03-06 14:00:05.320909,2023-03-06
61401030,57,Metro Fuel,Metro Nerang,2 Spencer Rd,4211,-27.996955,153.340494,2,Unleaded,1729.0,2023-03-03T22:06:59,2023-03-06 14:00:05.320909,2023-03-06
61401033,111,Coles Express,Coles Express Yatala, Henry Hester Drv (Cnr Macpherson Rd),4207,-27.729217,153.224298,2,Unleaded,2019.0,2023-02-28T22:00:41.447,2023-03-06 14:00:05.320909,2023-03-06
61401035,5,BP,BP Johnston Street,69 Johnston St,4215,-27.964992,153.404009,2,Unleaded,1659.0,2023-03-03T22:29:30.167,2023-03-06 14:00:05.320909,2023-03-06
61401038,57,Metro Fuel,Southport Metro,174 Nerang Street,4215,-27.974009,153.402823,2,Unleaded,1659.0,2023-03-03T06:06:42,2023-03-06 14:00:05.320909,2023-03-06
61401039,111,Coles Express,Coles Express Southport,34 Ferry Rd & Meron St,4215,-27.974753,153.410762,2,Unleaded,1699.0,2023-03-05T22:00:39.19,2023-03-06 14:00:05.320909,2023-03-06
61401044,5,BP,BP Ashmore Village,170 Cotlew Street,4214,-27.986755,153.382258,2,Unleaded,1699.0,2023-01-29T22:57:32.103,2023-03-06 14:00:05.320909,2023-03-06
61401046,111,Coles Express,Coles Express Benowa, Ashmore Rd (Cnr Glyn St),4217,-28.010219,153.392748,2,Unleaded,1969.0,2023-03-05T22:00:39.22,2023-03-06 14:00:05.320909,2023-03-06
61401051,113,7 Eleven,7-Eleven Surfers Paradise,94-102 Ferny Avenue,4217,-27.995442,153.427467,2,Unleaded,1967.0,2023-03-05T18:28:01.75,2023-03-06 14:00:05.320909,2023-03-06
61401053,111,Coles Express,Coles Express Surfers Paradise, 2824 Gold Coast Hwy (Cnr Monaco St),4217,-28.017546,153.429031,2,Unleaded,1969.0,2023-03-05T01:30:36.287,2023-03-06 14:00:05.320909,2023-03-06
61401054,3421066,Ampol,Ampol Foodary Broadbeach,2745 Gold Coast Hwy,4218,-28.025426,153.429381,2,Unleaded,1967.0,2023-03-05T14:01:00,2023-03-06 14:00:05.320909,2023-03-06
61401057,111,Coles Express,Coles Express Miami,2142 Gold Coast Highway,4220,-28.063796,153.437818,2,Unleaded,1999.0,2023-02-27T06:15:39.627,2023-03-06 14:00:05.320909,2023-03-06
61401061,12,Independent,Pearl Energy Southport,519 Olsen Avenue,4214,-27.976439,153.381147,2,Unleaded,1677.0,2023-02-21T11:22:01,2023-03-06 14:00:05.320909,2023-03-06
61401062,113,7 Eleven,7-Eleven Ashmore,400 Nerang Rd,4214,-27.978765,153.379636,2,Unleaded,1699.0,2023-03-05T18:28:01.75,2023-03-06 14:00:05.320909,2023-03-06
61401064,113,7 Eleven,7-Eleven Palm Beach,1186 Gold Coast Hwy & Eighth Av,4221,-28.118283,153.470756,2,Unleaded,1967.0,2023-03-05T18:28:01.75,2023-03-06 14:00:05.320909,2023-03-06
61401067,5,BP,BP Tugun,468 Golden Four Dr,4224,-28.142699,153.493365,2,Unleaded,2099.0,2023-02-22T08:21:45.1,2023-03-06 14:00:05.320909,2023-03-06
61401068,111,Coles Express,Coles Express Tugun, Gold Coast Hwy (Cnr Toolona & Maud St),4224,-28.143595,153.493539,2,Unleaded,1969.0,2023-03-05T05:15:37.61,2023-03-06 14:00:05.320909,2023-03-06
61401080,5094,Puma Energy,Puma Tugun,502 Gold Coast Hwy & Pacific Hwy,4224,-28.141643,153.491371,2,Unleaded,1967.0,2023-03-05T04:04:43,2023-03-06 14:00:05.320909,2023-03-06
61401083,5094,Puma Energy,Puma Miami,2133 Gold Coast Highway,4220,-28.065869,153.439717,2,Unleaded,1997.0,2023-02-27T05:55:28,2023-03-06 14:00:05.320909,2023-03-06
61401090,12,Independent,Brians Auto Centre Miami,2064 Gold Coast Hwy,4220,-28.068475,153.441023,2,Unleaded,1959.0,2023-03-01T04:14:40.127,2023-03-06 14:00:05.320909,2023-03-06
61401092,5,BP,BP Connect Oxenford,5 Old Pacific Hwy,4210,-27.897219,153.313775,2,Unleaded,1999.0,2023-03-06T02:54:51.77,2023-03-06 14:00:05.320909,2023-03-06
61401094,5,BP,BP Connect Labrador,118 Frank St & Baker St,4215,-27.945819,153.408203,2,Unleaded,1999.0,2023-03-06T02:54:51.77,2023-03-06 14:00:05.320909,2023-03-06
61401106,5,BP,BP Newstead,20 Commercial Rd & Stratton St,4006,-27.452584,153.041807,2,Unleaded,1979.0,2023-03-06T02:54:51.77,2023-03-06 14:00:05.320909,2023-03-06
61401117,86,Liberty,Liberty Highgate Hill,22 Gladstone Road,4101,-27.483891,153.020309,2,Unleaded,1899.0,2023-03-02T03:57:58.687,2023-03-06 14:00:05.320909,2023-03-06
61401118,113,7 Eleven,7-Eleven East Brisbane,Vulture Street,4169,-27.484763,153.039958,2,Unleaded,1889.0,2023-03-05T18:28:01.75,2023-03-06 14:00:05.320909,2023-03-06
61401119,5,BP,BP East Brisbane,41-49 Lytton Road,4169,-27.479316,153.043606,2,Unleaded,1899.0,2023-03-06T02:54:51.77,2023-03-06 14:00:05.320909,2023-03-06
61401124,3421066,Ampol,Ampol Foodary Woolloongabba,118 Logan Rd,4102,-27.490713,153.040173,2,Unleaded,1889.0,2023-03-05T14:01:00,2023-03-06 14:00:05.320909,2023-03-06
61401126,5,BP,BP Milton,119 Milton Rd,4064,-27.467628,153.007504,2,Unleaded,2069.0,2023-02-28T21:10:52.65,2023-03-06 14:00:05.320909,2023-03-06
61401128,111,Coles Express,Coles Express Balmoral, 209 Oxford St (Cnr Hawthorne Rd),4171,-27.452187,153.061914,2,Unleaded,1899.0,2023-02-28T00:15:39.883,2023-03-06 14:00:05.320909,2023-03-06
61401131,20,Shell,Shell Galloway Hills,1 Hawthorne Road,4171,-27.472458,153.059572,2,Unleaded,1899.0,2023-02-28T03:15:38.43,2023-03-06 14:00:05.320909,2023-03-06
61401132,5,BP,BP Stanley Street East,979 Stanley Street East,4169,-27.488386,153.047595,2,Unleaded,1889.0,2023-03-04T05:53:55,2023-03-06 14:00:05.320909,2023-03-06
61401134,3421066,Ampol,Ampol Foodary Camp Hill,424 Old Cleveland Rd & Bennetts Rd,4152,-27.491928,153.064863,2,Unleaded,1899.0,2023-03-05T14:01:00,2023-03-06 14:00:05.320909,2023-03-06
61401136,2,Caltex,Caltex Norman Park,164 Bennetts Rd & Milsom St,4170,-27.483909,153.063748,2,Unleaded,1899.0,2023-02-28T22:04:38.143,2023-03-06 14:00:05.320909,2023-03-06
