SiteID,BrandID,BrandName,PetrolStationName,Address,Postcode,Lat,Lng,FuelId,FuelName,Price,TransactionDateUtc,collection_datetime,collection_date
61477912,12,Independent,Happy Valley - Fraser Island Retreat, Happy Valley Drive,4581,-25.337372,153.200055,2,Unleaded,3200.0,2022-07-17T04:59:05.997,2023-08-12 14:00:05.144570,2023-08-12
61478105,12,Independent,Nobby General Store,14 Tooth St,4360,-27.853037585815752,151.90273911593857,2,Unleaded,2309.0,2022-08-03T05:17:13,2023-08-12 14:00:05.144570,2023-08-12
61471015,12,Independent,Normanton Traders,29-33 Woodward Street,4890,-17.673423,141.077361,2,Unleaded,1999.0,2022-08-17T01:08:37.83,2023-08-12 14:00:05.144570,2023-08-12
61477833,12,Independent,K'gari Beach Resort, Eurong Beach Resort,4581,-25.510028378717806,153.12698317578875,2,Unleaded,3100.0,2022-08-18T22:13:21.127,2023-08-12 14:00:05.144570,2023-08-12
61477834,12,Independent,Kingfisher Bay Resort, Kingfisher Bay Resort,4581,-25.392478,153.030418,2,Unleaded,3100.0,2022-08-18T22:13:21.127,2023-08-12 14:00:05.144570,2023-08-12
61402838,12,Independent,Kookaburra's Store,7 Alexandra Street,4754,-21.158511,148.863046,2,Unleaded,1899.0,2022-11-21T00:12:30.013,2023-08-12 14:00:05.144570,2023-08-12
61477967,12,Independent,Tirranna Springs Road House,Lot 6 Doomadgee Road,4830,-17.895726,139.296278,2,Unleaded,2699.0,2022-11-21T06:09:49.947,2023-08-12 14:00:05.144570,2023-08-12
61402639,12,Independent,Cam's Corner Servo & Mini Mart,29 Yappar Street,4891,-17.484502,140.839419,2,Unleaded,1909.0,2022-12-05T07:28:06.26,2023-08-12 14:00:05.144570,2023-08-12
61477125,12,Independent,Muttaburra Shop and Fuel,8 Bruford Street,4732,-22.592777,144.548189,2,Unleaded,2060.0,2022-12-16T03:10:09.743,2023-08-12 14:00:05.144570,2023-08-12
61402308,12,Independent,C K Motors,6 Burnett Street,4703,-23.134004,150.740617,2,Unleaded,1729.0,2023-01-26T23:10:30,2023-08-12 14:00:05.144570,2023-08-12
61477123,12,Independent,Byfield General Store,2234 Byfield Road,4703,-22.841341,150.646689,2,Unleaded,1999.0,2023-02-12T01:04:40.563,2023-08-12 14:00:05.144570,2023-08-12
61477841,12,Independent,Badu Express,189 Tamwoy Street,4875,-10.163466,142.166513,2,Unleaded,3020.0,2023-02-20T02:32:35.753,2023-08-12 14:00:05.144570,2023-08-12
61402581,12,Independent,Ibis Thursday Island Service Station,121 Douglas St,4875,-10.584589126797093,142.21512957043075,2,Unleaded,2550.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61477823,12,Independent,CEQ Kowanyama Supermarket, Chapman Road,4892,-15.472405,141.746708,2,Unleaded,2490.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61477824,12,Independent,CEQ Lockhart River Supermarket,Lot 32 Ilway Drive,4892,-12.784496,143.343201,2,Unleaded,2550.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61477825,12,Independent,IBIS Fuel St. Pauls, Oza Bosun Road,4875,-10.185983,142.332387,2,Unleaded,2650.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61477826,12,Independent,Ibis Fuel Kubin, Gerainelgau Yabu,4875,-10.235515,142.218805,2,Unleaded,2650.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61477827,12,Independent,IBIS Fuel Warraber Island,10 Phillemon Street,4875,-10.205453,142.825827,2,Unleaded,2650.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61477828,12,Independent,IBIS Fuel Yam Island,1 Mosby Street,4875,-9.898791,142.766896,2,Unleaded,2650.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61477829,12,Independent,IBIS Fuel Yorke Island, Lawrences Road,4875,-9.750395,143.411537,2,Unleaded,2650.0,2023-02-24T06:20:23.773,2023-08-12 14:00:05.144570,2023-08-12
61402498,12,Independent,Birdsville Fuel Service,65 Adelaide Street,4482,-25.899342,139.352601,2,Unleaded,2340.0,2023-04-02T05:34:20.3,2023-08-12 14:00:05.144570,2023-08-12
61477905,12,Independent,Birdsville Roadhouse,Lot 2 Frew Street,4482,-25.897713,139.352982,2,Unleaded,2340.0,2023-04-02T05:34:20.3,2023-08-12 14:00:05.144570,2023-08-12
61477838,12,Independent,Serenity Cove Cafe & Convenience Store,88  Esplanade,4660,-25.110462,152.567279,2,Unleaded,2050.0,2023-04-03T00:28:55.45,2023-08-12 14:00:05.144570,2023-08-12
61477027,3421066,Ampol,Ampol Glenden,111 Ewan Drive,4743,-21.345331,148.108283,2,Unleaded,2069.0,2023-04-22T00:11:08,2023-08-12 14:00:05.144570,2023-08-12
61402528,3421066,Ampol,Ampol Lotus Creek,12287 Marlborough Sarina Rd,4705,-22.34816088555526,149.102333,2,Unleaded,1850.0,2023-04-24T05:54:08.497,2023-08-12 14:00:05.144570,2023-08-12
61402688,12,Independent,Boulia Roadhouse,2 Herbert Street,4829,-22.910457,139.913643,2,Unleaded,2100.0,2023-04-28T00:51:04.547,2023-08-12 14:00:05.144570,2023-08-12
61477065,3421066,Ampol,Ampol Fuel Homestead Caravan Park,24 Box Street,4725,-23.555549,145.283661,2,Unleaded,2079.0,2023-05-09T20:52:43,2023-08-12 14:00:05.144570,2023-08-12
61402557,5,BP,BP Millmerran,64-72 Campbell Street,4357,-27.877861,151.269775,2,Unleaded,1809.0,2023-05-10T00:42:52.353,2023-08-12 14:00:05.144570,2023-08-12
61477909,12,Independent,O'Brien Toyota Thargomindah,61 Dowling Street,4492,-27.996895,143.822966,2,Unleaded,2230.0,2023-05-10T05:26:45.813,2023-08-12 14:00:05.144570,2023-08-12
61470869,12,Independent,Cunnamulla Roadhouse,10 Emma St,4490,-28.067543,145.685318,2,Unleaded,2099.0,2023-05-12T08:51:35,2023-08-12 14:00:05.144570,2023-08-12
61470735,16,Mobil,Mobil Barcaldine,2 Box Street,4725,-23.552297,145.283717,2,Unleaded,2155.0,2023-05-24T03:59:03.337,2023-08-12 14:00:05.144570,2023-08-12
61477911,12,Independent,Cathedrals on Fraser,Lot 53 Fraser Island Road,4581,-25.218892,153.255928,2,Unleaded,3100.0,2023-05-28T05:02:37.91,2023-08-12 14:00:05.144570,2023-08-12
61477977,12,Independent,Glenore Grove Store,6 Brightview Road,4342,-27.530321,152.407711,2,Unleaded,1999.0,2023-05-30T04:25:27.897,2023-08-12 14:00:05.144570,2023-08-12
61451656,5,BP,BP Middlemount,1 Centenary Drive North,4746,-22.81835311080822,148.7114745042992,2,Unleaded,2199.0,2023-06-06T01:11:14,2023-08-12 14:00:05.144570,2023-08-12
61477965,12,Independent,Simpson Desert Oasis,57 Herbert Street,4829,-24.355151,139.470784,2,Unleaded,2489.0,2023-06-08T03:31:30.463,2023-08-12 14:00:05.144570,2023-08-12
61477973,12,Independent,Barcoo Shire Council Depot,6 Perkins Street,4736,-24.833234,143.058902,2,Unleaded,2129.0,2023-06-26T19:23:47.063,2023-08-12 14:00:05.144570,2023-08-12
61477927,12,Independent,Karumba Point Service Station,37 Karumba Point Road,4891,-17.458209,140.833297,2,Unleaded,2039.0,2023-07-12T03:35:49.4,2023-08-12 14:00:05.144570,2023-08-12
61470126,12,Independent,Lowood Fuels,64 Main Street,4311,-27.461859,152.580924,2,Unleaded,1899.0,2023-07-17T00:35:09.163,2023-08-12 14:00:05.144570,2023-08-12
61402559,12,Independent,Wessel Petroleum Cooroy,2 Diamond St & Elm St,4563,-26.417016,152.911917,2,Unleaded,1899.0,2023-07-20T11:55:58.183,2023-08-12 14:00:05.144570,2023-08-12
61402049,5,BP,BP Pomona,19 Factory,4568,-26.364308,152.855863,2,Unleaded,1899.0,2023-07-20T22:46:26.69,2023-08-12 14:00:05.144570,2023-08-12
61477893,20,Shell,Shell Pomona,1 Factory Street,4568,-26.365473,152.857888,2,Unleaded,1899.0,2023-07-20T22:46:26.69,2023-08-12 14:00:05.144570,2023-08-12
61401781,86,Liberty,Liberty Lawnton,706-708 Gympie Road,4501,-27.290118,152.984626,2,Unleaded,1779.0,2023-07-25T01:28:23.387,2023-08-12 14:00:05.144570,2023-08-12
61401316,5,BP,BP Stafford,475 Stafford Road,4053,-27.409316,153.008034,2,Unleaded,1959.0,2023-07-26T20:19:16.497,2023-08-12 14:00:05.144570,2023-08-12
61470098,5094,Puma Energy,Morven Roadhouse,Lot 59 Warrego Highway,4468,-26.410976,147.126489,2,Unleaded,2049.0,2023-07-28T00:34:09.797,2023-08-12 14:00:05.144570,2023-08-12
61402514,5,BP,John Jackson Motors,25 Main Street,4612,-26.178097,151.691606,2,Unleaded,1899.0,2023-07-28T02:29:11.71,2023-08-12 14:00:05.144570,2023-08-12
61401931,57,Metro Fuel,Metro Petroleum Hillcrest,78 Middle Rd,4118,-27.676712,153.024861,2,Unleaded,1847.0,2023-07-29T23:05:19.36,2023-08-12 14:00:05.144570,2023-08-12
61477832,86,Liberty,Liberty Bauhinia Roadhouse,25885 Dawson Highway,4718,-24.570366,149.292073,2,Unleaded,1897.0,2023-07-31T01:48:31.71,2023-08-12 14:00:05.144570,2023-08-12
61401349,2,Caltex,Caltex Albion,5 McLennan Street,4010,-27.428861,153.036573,2,Unleaded,1949.0,2023-07-31T02:48:19.18,2023-08-12 14:00:05.144570,2023-08-12
61477802,12,Independent,Rubyvale Friendly Grocer,6 Keilambete Road,4702,-23.419823,147.697871,2,Unleaded,1989.0,2023-07-31T04:02:59.553,2023-08-12 14:00:05.144570,2023-08-12
61477112,12,Independent,Top Shop Mt Garnet,65 Garnet Street,4872,-17.680304,145.122485,2,Unleaded,1909.0,2023-07-31T05:58:24.173,2023-08-12 14:00:05.144570,2023-08-12
61402492,5,BP,BP Wandoan,1-3 Zupp Road,4419,-26.125193,149.961457,2,Unleaded,1999.0,2023-07-31T06:14:08.847,2023-08-12 14:00:05.144570,2023-08-12
61402519,5,BP,Mckays Fuel & Rural Supplies,4 Wallace Street,4671,-25.18139691623775,151.64494008103907,2,Unleaded,1929.0,2023-07-31T21:31:54,2023-08-12 14:00:05.144570,2023-08-12
61402051,3421066,Ampol,Ampol Pimlico,13 Palmerston Rd,4812,-19.281717,146.789129,2,Unleaded,1899.0,2023-07-31T23:39:11.07,2023-08-12 14:00:05.144570,2023-08-12
61402083,3421066,Ampol,Ampol Garbutt Depot,26-28 Pilkington St,4814,-19.267277,146.767533,2,Unleaded,1899.0,2023-07-31T23:39:11.07,2023-08-12 14:00:05.144570,2023-08-12
61477141,3421066,Ampol,Ampol Roseneath,14 Kiernan Drive,4811,-19.376331,146.831403,2,Unleaded,1899.0,2023-07-31T23:39:11.07,2023-08-12 14:00:05.144570,2023-08-12
