SiteID,BrandID,BrandName,PetrolStationName,Address,Postcode,Lat,Lng,FuelId,FuelName,Price,TransactionDateUtc,collection_datetime,collection_date
61477911,12,Independent,Cathedrals on Fraser,Lot 53 Fraser Island Road,4581,-25.218892,153.255928,2,Unleaded,3200.0,2022-03-19T04:53:10.15,2022-10-01 14:00:08.635992,2022-10-01
61402688,12,Independent,Boulia Roadhouse,2 Herbert Street,4829,-22.910457,139.913643,2,Unleaded,2350.0,2022-05-30T21:41:22.663,2022-10-01 14:00:08.635992,2022-10-01
61477125,12,Independent,Muttaburra Shop and Fuel,8 Bruford Street,4732,-22.592777,144.548189,2,Unleaded,2300.0,2022-06-30T23:51:21.93,2022-10-01 14:00:08.635992,2022-10-01
61477967,12,Independent,Tirranna Springs Road House,Lot 6 Doomadgee Road,4830,-17.895726,139.296278,2,Unleaded,2539.0,2022-07-11T03:09:28.543,2022-10-01 14:00:08.635992,2022-10-01
61477912,12,Independent,Happy Valley - Fraser Island Retreat, Happy Valley Drive,4581,-25.337372,153.200055,2,Unleaded,3200.0,2022-07-17T04:59:05.997,2022-10-01 14:00:08.635992,2022-10-01
61402561,12,Independent,The White Bull Roadhouse,59 Lodge Street,4726,-22.974225,145.245018,2,Unleaded,2149.0,2022-07-21T22:22:53.767,2022-10-01 14:00:08.635992,2022-10-01
61402663,3421066,Ampol,Roadrunner Roadhouse,25 McIlwraith St,4824,-20.706816,140.522224,2,Unleaded,2189.0,2022-07-27T01:58:18.003,2022-10-01 14:00:08.635992,2022-10-01
61477823,12,Independent,CEQ Kowanyama Supermarket, Chapman Road,4892,-15.472405,141.746708,2,Unleaded,2390.0,2022-07-27T20:42:51.913,2022-10-01 14:00:08.635992,2022-10-01
61477824,12,Independent,CEQ Lockhart River Supermarket,Lot 32 Ilway Drive,4892,-12.784496,143.343201,2,Unleaded,2390.0,2022-07-27T20:42:51.913,2022-10-01 14:00:08.635992,2022-10-01
61477825,12,Independent,IBIS Fuel St. Pauls, Oza Bosun Road,4875,-10.185983,142.332387,2,Unleaded,2490.0,2022-07-27T20:42:51.913,2022-10-01 14:00:08.635992,2022-10-01
61477826,12,Independent,Ibis Fuel Kubin, Gerainelgau Yabu,4875,-10.235515,142.218805,2,Unleaded,2490.0,2022-07-27T20:42:51.913,2022-10-01 14:00:08.635992,2022-10-01
61477827,12,Independent,IBIS Fuel Warraber Island,10 Phillemon Street,4875,-10.205453,142.825827,2,Unleaded,2490.0,2022-07-27T20:42:51.913,2022-10-01 14:00:08.635992,2022-10-01
61477828,12,Independent,IBIS Fuel Yam Island,1 Mosby Street,4875,-9.898791,142.766896,2,Unleaded,2490.0,2022-07-27T20:42:51.913,2022-10-01 14:00:08.635992,2022-10-01
