FuelCode,Price,IsAvailable,FuelOutletIdentifier,OutletName,Address,Postcode,Suburb,FuelBrandIdentifier,Longitude,Latitude,BrandIdentifier,BrandName,collection_datetime,collection_date
U91,0.00,True,08520017,Timber Creek Store (Old),"Lot 13, Victoria Highway",0852,Timber Creek ,IN,130.480756,-15.662884,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
DL,270.00,True,08700018,Santa Teresa Store,Cnr Store Rd/Alice Rd (Lot 132) ,0870,Santa Teresa,IN,134.372429,-24.1299,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
LAF,270.00,True,08700018,Santa Teresa Store,Cnr Store Rd/Alice Rd (Lot 132) ,0870,Santa Teresa,IN,134.372429,-24.1299,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
DL,0.00,True,08720019,Ti Tree Store,35 Spencer St,0872,Ti Tree ,PM,133.413494,-22.128564,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,0.00,True,08720019,Ti Tree Store,35 Spencer St,0872,Ti Tree ,PM,133.413494,-22.128564,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,300.00,True,08720020,Titjikala Store,Lot 28,0872,Titjikala,CA,134.075971,-24.674253,CA,Caltex,2023-05-11 14:00:17.473315,2023-05-11
LAF,275.00,True,08720020,Titjikala Store,Lot 28,0872,Titjikala,CA,134.075971,-24.674253,CA,Caltex,2023-05-11 14:00:17.473315,2023-05-11
DL,280.00,True,08520021,Ngukurr Store,"Lot 339, Balamurra St ",0852,Ngukurr,PM,134.73355,-14.733209,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,260.00,True,08520021,Ngukurr Store,"Lot 339, Balamurra St ",0852,Ngukurr,PM,134.73355,-14.733209,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,290.00,True,08700022,Mt Liebig Store,20 Kely Road,0872,Mount Liebig,IN,131.272643,-23.266204,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
LAF,275.00,True,08700022,Mt Liebig Store,20 Kely Road,0872,Mount Liebig,IN,131.272643,-23.266204,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
DL,330.00,True,08220023,Lagulalya Store,Lot 7,0822,Milyakburra,PM,136.194962,-13.782702,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,285.00,True,08220023,Lagulalya Store,Lot 7,0822,Milyakburra,PM,136.194962,-13.782702,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,315.00,True,08720024,Mirnirri Store ,"Lot 168, Jungara Street",0872,Ali Curung,PM,134.405907,-21.002413,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,280.00,True,08720024,Mirnirri Store ,"Lot 168, Jungara Street",0872,Ali Curung,PM,134.405907,-21.002413,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,285.00,True,08520025,Gulin Gulin Store ,Bulman via Central Arnhem Highway NT,0852,Bulman,PM,134.333928,-13.665901,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,250.00,True,08520025,Gulin Gulin Store ,Bulman via Central Arnhem Highway NT,0852,Bulman,PM,134.333928,-13.665901,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,295.00,True,08720026,Canteen Creek Store ,Lot 48 Canteen Creek Davenport Ranges,0872,Canteen Creek,PM,135.585732,-20.644573,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,285.00,True,08720026,Canteen Creek Store ,Lot 48 Canteen Creek Davenport Ranges,0872,Canteen Creek,PM,135.585732,-20.644573,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,285.00,True,08720027,Nyirripi Store ,"Lot 22, Nyirripi Community off Tanami Track",0872,Nyirripi ,IN,130.552139,-22.649659,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
LAF,275.00,True,08720027,Nyirripi Store ,"Lot 22, Nyirripi Community off Tanami Track",0872,Nyirripi ,IN,130.552139,-22.649659,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
P95,223.00,True,08540028,TJS One Stop,Lot 535 & 796 Robinson Rd,0854,Borroloola,UN,136.306301,-16.05368,UN,United,2023-05-11 14:00:17.473315,2023-05-11
DL,206.90,True,08350029,Puma Coolalinga,465 Stuart Highway,0835,COOLALINGA,PM,131.043451,-12.52337,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
P95,197.90,True,08350029,Puma Coolalinga,465 Stuart Highway,0835,COOLALINGA,PM,131.043451,-12.52337,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
U91,182.90,True,08350029,Puma Coolalinga,465 Stuart Highway,0835,COOLALINGA,PM,131.043451,-12.52337,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,0.00,True,08300030,Caltex Berry Springs,808 Cox Peninsula Road,0830,Berry Springs,CA,131.014053,-12.700744,CA,Caltex,2023-05-11 14:00:17.473315,2023-05-11
P95,0.00,True,08300030,Caltex Berry Springs,808 Cox Peninsula Road,0830,Berry Springs,CA,131.014053,-12.700744,CA,Caltex,2023-05-11 14:00:17.473315,2023-05-11
U91,0.00,True,08300030,Caltex Berry Springs,808 Cox Peninsula Road,0830,Berry Springs,CA,131.014053,-12.700744,CA,Caltex,2023-05-11 14:00:17.473315,2023-05-11
DL,275.00,True,08700031,Kintore Store,Lot 116 Kintore Community,0870,Kintore,CA,129.388544,-23.275545,CA,Caltex,2023-05-11 14:00:17.473315,2023-05-11
LAF,270.00,True,08700031,Kintore Store,Lot 116 Kintore Community,0870,Kintore,CA,129.388544,-23.275545,CA,Caltex,2023-05-11 14:00:17.473315,2023-05-11
DL,300.00,True,08720032,Wirliyajarrayi Store ,Lot 39,0872,Willowra,PM,132.609854,-21.247534,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,275.00,True,08720032,Wirliyajarrayi Store ,Lot 39,0872,Willowra,PM,132.609854,-21.247534,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,285.00,True,08720033,Nguru Walalja Store ,Lot 430 ,0870,Yuendumu,PM,131.794646,-22.25555,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,285.00,True,08720033,Nguru Walalja Store ,Lot 430 ,0870,Yuendumu,PM,131.794646,-22.25555,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,206.90,True,08390034,COLES EXPRESS COOLALINGA,425 STUART HWY,0839,COOLALINGA,SH,131.040981,-12.520863,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
