address,lat,long,convenient
Lot 485 Perdjert Street,-14.237557,129.520224,False
Lot 3095 Arnhem Highway,-12.761847,131.50097,True
Cnr Matthew Flinders Way and Westal Street,-12.185616,136.78794,False
11275 Stuart Highway,-20.640889,134.222481,True
16640 Tanami Road,-22.809705,132.598933,True
1 South Stuart Highway,-25.839525,133.300233,True
24 Hour. Rowell Highway,-13.858038,136.421326,False
Lot 101 Gapuwiyak Road,-12.502206,135.803116,False
Lot 15,-14.156288,130.081742,False
Cnr Stuart HIghway and Barkly Highway,-19.436597,134.208254,True
"Mon to Fri 9am-1pm & 2pm-5pm, Sat 9am-1pm. 123/Lot 16 Mica Road",-22.984263,134.935567,False
20 Dundee Place,-12.717801,130.349783,False
153 Robinson Road,-16.073598,136.307645,False
89 Wagait Tower Road,-12.44015,130.747752,False
Cnr Stuart Highway and Carpentaria HIghway,-16.307701,133.385469,True
6990 Plenty Highway,-22.96829,134.241255,True
Lot 70 Roesch Street,-24.125148,133.087302,False
Lot 188 Milikapiti,-11.424561,130.676005,False
Lot 21 Arrunge Crescent,-22.259432,132.205158,False
Lot 628 Maningrida,-12.055045,134.22924,False
27101 Carpentaria Highway,-16.683417,135.726721,True
19668 Stuart Highway,-25.197583,133.201056,True
(Lot 94) 78 Victoria Highway,-15.661786,130.480501,True
Mon to Fri 9am-12pm & 2pm-4pm. Sat 9am-12pm.  20 Lapadum Street ,-25.582525,134.576613,False
"Mon to Fri 9am-12pm & 2:30pm-4:30pm.  Lot 2 Lydia Dora Drive, Areyonga Community",-24.07402,132.26893,False
5816 Kakadu Highway,-13.605614,132.219978,False
Main Street,-12.326299,133.055317,False
Lot 8773/26 Larapinta Drive,-23.70412,133.85313,True
8824/8844 Stuart Highway,-24.340135,133.458759,True
13381 Plenty Highway via,-22.951033,136.142942,False
147 Buchanan Highway (Crn Buntine & Buchanan Highway,-16.543589,131.796902,True
369 Colliston Road,-22.25346,131.795078,False
44a (North) Stuart Hwy,-23.693574,133.878276,True
73 Gap Road ,-23.716921,133.872582,True
70 Spearwood Road,-23.700637,133.899943,False
Lot 406 Puautjimi Street,-11.757567,130.634886,False
278 Woodforde Rd (Stuart Highway),-22.24557,133.420507,True
"4am-9pm 7 days. Aileron Access Road, off Stuart Highway",-22.644498,133.345577,True
105 Stuart Highway,-13.23891,131.10611,True
Lot 118,-11.150366,132.577987,False
23 Multa Road,-23.447896,131.881686,False
Mutitjula Community,-25.347579,131.064519,False
175 Darwin River Road,-12.780692,130.962569,False
Lot 419 Galawarra Road,-12.030196,135.566072,False
27 Rum Jungle Road,-13.046233,131.024666,False
83 Stuart Highway,-17.553517,133.54445,True
Luritja Road,-24.250572,131.511377,False
"Mon to Sun 7am-7pm,  Arnhem Highway",-12.67492,132.479186,True
Daly River Road,-13.765407,130.709128,False
13 Roper Terrace,-14.924114,133.067712,True
Byrnes Road,-23.685993,132.673207,True
13729 Stuart Highway,-16.679732,133.412717,True
49 Rum Jungle Rd,-13.041652,131.024511,False
"Lot 1041, 216 Paterson Street",-19.637121,134.192328,True
Lot 24 Stuart Street,-16.253798,133.369345,False
"1 Jetty Road, Roper Highway",-14.735076,134.528786,False
3/34 North Stuart Highway,-23.691003,133.876074,True
120 Stuart Highway,-13.237805,131.104685,True
Cnr Angliss Rd and Fotiades Rd,-12.447604,130.94755,True
222 Paterson Street,-19.636383,134.192451,True
102 Stuart Highway,-17.555759,133.548101,True
16 Ghan Road,-23.693791,133.871466,True
Lot 913 Smith Street,-23.692967,133.871034,True
Ammaroo Station,-21.750183,135.2387,False
1 Sandover Highway,-22.086357,134.776019,False
" Open 7 days  07:00 - 21:00, excluding Christmas day - NT Portion 449 Stuart Highway",-21.531326,133.889308,True
7 Gillard Crescent - Corner Zimin Drive,-14.454156,132.245342,True
32  Spencer Street,-22.129396,133.413032,True
Lot 3 Stuart Highway,-22.097869,133.423997,True
"1 Tobermorey Roadhouse, Plenty Highway",-22.274359,137.973541,False
166 Coonawarra Road,-12.430993,130.891404,True
20 Whittaker Street,-23.695305,133.874662,True
Corner Zimin Drive and Gillard Crescent,-14.4535,132.24627,True
40 Emungalan Road,-14.448127,132.249913,True
12 Dalgety Road,-23.669213,133.864862,True
4 Bicentennial Road,-14.487214,132.25816,True
71 Peko Road,-19.646463,134.19919,False
"Lot 1, 13 Victoria Highway",-15.662884,130.480756,True
869 Stuart Highway ,-12.45187,130.96321,True
85 Bicentennial Road,-14.47085,132.27509,True
Old South Road,-24.667734,134.072466,False
13 Distribution Drive,-12.457972,130.941972,True
