address,lat,long,convenient
"575-581 Great Western Highway, Faulconbridge NSW 2776",-33.694145,150.537347,True
"2137 Pacific Highway, Heatherbrae NSW 2324",-32.798345,151.717716,True
"42 Bulahdelah Way, Bulahdelah NSW 2423",-32.409505,152.211347,True
"4974 Pacific Highway (Cnr Lemon Tree Rd), Halfway Creek NSW 2460",-29.934898,153.094274,True
"112 Rookwood (Cnr Brunker) Rds, Yagoona NSW 2199",-33.898673,151.037094,True
"142-148 Corrimal St, Wollongong NSW 2500",-34.42874,150.898901,True
"59 Durham Street, Bathurst NSW 2795",-33.41649,149.58434,True
"121 Banna Avenue, Griffith NSW 2680",-34.288346,146.051293,True
"Lot 1 Great Western Highway (Cnr Rydal Rd), South Bowenfels NSW 2790",-33.505897,150.123904,True
"93 Park Avenue, Kotara NSW 2289",-32.940904,151.708827,True
"Balo St & Gwydir St, Moree NSW 2400",-29.461111,149.842053,True
"1-3 Sowerby St, Goulburn NSW 2580",-34.772916,149.691601,True
"43 Panmure Rd (Cnr Windsor Road), Rouse Hill NSW 2155",-33.683025,150.916102,True
"59-63 Victoria Street, Taree NSW 2430",-31.910559,152.465144,False
"115 Heathcote Rd, Wattle Grove NSW 2173",-33.946408,150.946795,True
"306-312 Forest Road (Cnr Fredrick St), Bexley NSW 2205",-33.945714,151.128092,True
"396-404 Forest Road, Hurstville NSW 2220",-33.964882,151.09907,True
"71 Minjungbal Dr, Tweed Heads South NSW 2486",-28.194588,153.541981,False
"650-652 Hoxton Park Rd, Hoxton Park NSW 2171",-33.925298,150.849274,True
"4 Century Circuit, Baulkham Hills NSW 2153",-33.733555,150.963518,True
"88 Centre St (Cnr Richmond St), Casino NSW 2470",-28.866373,153.045016,True
"34 Wharf St (Cnr Frances St), Tweed Heads NSW 2485",-28.173842,153.543136,False
"33351 Newell Highway, Boggabilla NSW 2409",-28.608783,150.351079,True
"99 Tweed Coast Rd, Hastings Point NSW 2489",-28.369171,153.5726,False
"1181 The Horsley Drive, Wetherill Park NSW 2164",-33.849642,150.901063,True
"562-572 Botany Rd, Alexandria NSW 2015",-33.915767,151.200134,True
"470 Princes Hwy (Cnr The Boulevarde), Gymea NSW 2232",-34.027079,151.084243,True
"164 William Street, Broken Hill NSW 2880",-31.951488,141.453671,True
"2398 Pacific Highway, Heatherbrae NSW 2324",-32.783298,151.737022,True
"19-21 Windsor Road, Kellyville NSW 2155",-33.712817,150.95903,True
"Cnr Kennedy Dve & Ducat St, Tweed Heads NSW 2485",-28.18605,153.526203,True
"Hume highway & Sheahan Bridge, GUNDAGAI NSW 2722",-35.003645,148.110711,True
"198 Princes Hwy, SOUTH NOWRA NSW 2541",-34.915547,150.605512,True
"130 Cormorant Rd (Po Box 222), Kooragang NSW 2304",-32.883576,151.761947,True
"465 Guinea St (Cnr David St), Albury NSW 2640",-36.074822,146.921549,True
"575 Wagga Rd, Lavington NSW 2641",-36.03665,146.963037,False
"920 Richmond Rd, Marsden Park NSW 2765",-33.715721,150.842679,True
"137-141 Kingsgrove Road, Kingsgrove NSW 2208",-33.932785,151.099086,True
"2-6 Swan St, Bega NSW 2550",-36.673879,149.838173,False
"792-794 Canterbury Road Chapel Street, Belmore NSW 2192",-33.925456,151.087072,True
"217 Wentworth Avenue (Corner Bungaree Road), Pendle Hill NSW 2145",-33.80187,150.957827,False
"99 Railway Street (Corner Frederick Street), Rockdale NSW 2216",-33.952566,151.135774,True
"534 Guildford Road West (Corner Fowler Road), Guildford West NSW 2161",-33.851431,150.972137,False
"1 Meagher Ave (Cnr Malabar Rd) (Repn 9 June'16), Maroubra NSW 2035",-33.951306,151.24905,True
"295-297 Merrylands Road (Corner Windsor Street), Merrylands NSW 2160",-33.835467,150.985311,False
"670 New Canterbury Road (Corner Melford Street), Hurlstone Park NSW 2193",-33.905043,151.130108,True
"234 Hamilton Road, Fairfield West NSW 2165",-33.872141,150.937268,False
"430 Bong Bong St (Cnr Bowral St), Bowral NSW 2576",-34.48268,150.417354,True
"340 North Rocks Road, North Rocks NSW 2151",-33.768977,151.03069,True
"352 Elizabeth Drive (Corner Meadow Road), Mount Pritchard NSW 2170",-33.902707,150.896724,True
"162A Spit Road (Corner Mitchell Road), Mosman NSW 2088",-33.817498,151.243383,True
"367 The Kingsway (Corner Willarong Road), Caringbah NSW 2229",-34.039547,151.120355,True
"Corner Crown & Darling Streets, West Wollongong NSW 2500",-34.425265,150.884673,True
"127 Great Western Highway (Corner Morley Avenue), Kingswood NSW 2747",-33.760042,150.725914,True
"271A Victoria Road, Drummoyne NSW 2047",-33.84723,151.151612,True
"45 Georges River Road, Croydon Park NSW 2133",-33.894381,151.111446,True
"90 Cowper St (Cnr Clinton St), Goulburn NSW 2580",-34.755637,149.711462,True
"612 Forest Road, Penshurst NSW 2222",-33.961504,151.079228,True
"128 Barker Street, Randwick NSW 2031",-33.920881,151.235608,True
"369 Pacific Highway, Heatherbrae NSW 2324",-32.791312,151.725301,True
"363 Vardys Road, Kings Park NSW 2148",-33.7466,150.90688,False
"45 Spit Road, Mosman NSW 2088",-33.823058,151.243459,True
"378 Pacific Highway, Belmont North NSW 2280",-33.022787,151.664179,True
"Lot 201 Appin Road, St Helens Park NSW 2560",-34.111953,150.798563,True
"474 Forest Road, Bexley NSW 2207",-33.951524,151.125198,True
"Corner Shellharbour & Wattle Roads, Shellharbour NSW 2529",-34.580605,150.861141,True
"693 Old Princes Highway (Retank Reopens 23 Jun'16), Sutherland NSW 2232",-34.029795,151.058951,True
"30 Henry Street, Penrith NSW 2750",-33.754088,150.704558,True
"1234 Pittwater Road, Narrabeen NSW 2101",-33.719601,151.298272,True
"180 Reservoir Road, Arndell Park NSW 2148",-33.796722,150.897194,True
"Lot 6 Luxford Road, Mount Druitt NSW 2770",-33.764921,150.82627,False
"243 Pennant Hills Road, Carlingford NSW 2118",-33.782875,151.045752,True
"Lot 3 Great Western Highway (Cnr John Hines Ave), Minchinbury NSW 2770",-33.778099,150.809194,True
"102 - 106 Wyong Road, Killarney Vale NSW 2261",-33.367288,151.46491,True
"28 Princes Highway, Arncliffe NSW 2205",-33.934164,151.152566,True
"214 The Entrance Road, Erina NSW 2250",-33.434942,151.387952,True
"Lot 122 Dunheved Road, Werrington NSW 2747",-33.747045,150.742768,False
"138-146 Princes Highway, Corrimal NSW 2518",-34.369863,150.897816,True
"Lot 1 Ben Lomond Road, MINTO NSW 2566",-34.031754,150.850253,False
"62 Walters Road, Blacktown NSW 2148",-33.775908,150.894749,False
"911 Pacific Highway, Lisarow NSW 2250",-33.385396,151.365375,True
"156 Pacific Highway, Watanobbi NSW 2259",-33.27436,151.429255,False
"36 Mulgoa Road, Regentville NSW 2745",-33.77504,150.666023,True
"93-99 Argyle Street, Picton NSW 2571",-34.168556,150.611545,True
"503 Lake Road, Argenton NSW 2284",-32.935194,151.630728,True
"49-51 Great Western Highway, Emu Plains NSW 2750",-33.746491,150.676178,True
"71 Blaxland Road, Campbelltown NSW 2560",-34.061876,150.80945,False
"255 -257 Old Northern Road, Castle Hill NSW 2154",-33.734803,151.003582,True
"822 King Georges Road & Joffre St, South Hurstville NSW 2220",-33.975997,151.10364,True
"Corner Marion Street & 48 Surrey Avenue, Georges Hall NSW 2198",-33.915626,150.997738,False
"390 Avoca Drive (Gosford), Green Point NSW 2251",-33.462598,151.363938,False
"464 Cabramatta Road West, Mount Pritchard NSW 2170",-33.897357,150.912907,True
"439 Princes Highway (Corner Massey Street), Carlton NSW 2218",-33.98081,151.119076,True
"132 LIVERPOOL RD, ASHFIELD NSW 2131",-33.890578,151.129552,True
"1443 Camden Valley Way, Leppington NSW 2171",-33.966367,150.815605,True
"180 Stacey & Stanley Streets, Bankstown NSW 2200",-33.920941,151.039191,True
"2355 Camden Valley Way (Corner Beech Road), Casula NSW 2170",-33.957141,150.882875,True
"531 - 537 Glebe Road & Bryant Street, Adamstown NSW 2289",-32.934945,151.729634,False
"47 Nolan Street (Corner Northcliffe Road), Berkeley NSW 2506",-34.476871,150.839335,False
"965-969 Pacific Highway (Corner Waratah Road), Berowra NSW 2081",-33.627124,151.148098,True
"611-615  Mimosa Street (Corner Forest Road), Bexley NSW 2207",-33.955531,151.118478,True
"368 Anzac Parade, Kingsford NSW 2032",-33.919683,151.226795,True
"Cnr Campbelltown & Blaxland Roads, Campbelltown NSW 2560",-34.053178,150.823322,True
"1055 Great Western Highway, Minchinbury NSW 2770",-33.781986,150.824399,True
"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",-33.780107,150.920677,True
"27 Queen Street, Campbelltown NSW 2560",-34.060434,150.819361,True
"175 Richmond Road, Blacktown NSW 2148",-33.754839,150.891241,True
"354 Corner Flushcombe Road & Myrtle Street, Blacktown NSW 2148",-33.795417,150.904904,True
"139 Great Western Highway (Corner Layton Avenue), Blaxland NSW 2774",-33.746366,150.613486,True
"735 George Street, Bligh Park NSW 2756",-33.637167,150.786046,True
"140 Edensor & Bibbys Roads, Bonnyrigg NSW 2177",-33.884086,150.892033,False
"Cnr Parramatta & Shaftsbury Rds, Burwood NSW 2134",-33.869406,151.108603,True
"96 Queen & Broughton Streets, Campbelltown NSW 2560",-34.06362,150.817014,True
"552 Pennant Hills Road, West Pennant Hills NSW 2125",-33.74687,151.050803,True
"104 Great Western Highway & Bennett Road, Colyton NSW 2760",-33.775081,150.793593,True
"73 Pembroke Rd (Cnr Durham St), Minto NSW 2566",-34.023584,150.850483,False
"342 Georges River Road & Burwood Road, Croydon Park NSW 2133",-33.897617,151.099796,True
"Lot 16 - 25 Great Western Highway, Eastern Creek NSW 2766",-33.787953,150.849664,True
"Shop 1, 135-137 Popondetta Road, Emerton NSW 2770",-33.744639,150.810225,False
"187 Wilson Road, Green Valley NSW 2168",-33.907829,150.865922,False
"25 Parramatta Road, Haberfield NSW 2045",-33.887908,151.142813,True
"1042 Great Western Highway, Minchinbury NSW 2770",-33.782515,150.82857,True
"Corner Elizabeth & Cowpasture Roads, Edensor Park NSW 2176",-33.883376,150.864788,True
"427 Bungarribee Road, Doonside NSW 2767",-33.772924,150.87627,True
"338-340 Hume Highway, Liverpool NSW 2170",-33.93145,150.917675,True
"126-128 OLD BATHURST RD, EMU HEIGHTS NSW 2750",-33.742988,150.654701,False
"246 Beecroft & Carlingford Roads, Epping NSW 2121",-33.770913,151.081199,True
"55 Central Coast Highway, Gosford West NSW 2250",-33.427077,151.33001,True
"154-160 Parramatta Road & Corner Bold Street, Granville NSW 2142",-33.830128,151.01003,True
"Lot 3-4 Parramatta Road & Harbord Street, Granville East NSW 2142",-33.835001,151.021825,True
"110 Gymea Bay Rd (Cnr 337-339 President Avenue), Gymea NSW 2227",-34.037679,151.084491,False
"795 Luxford Road  (Corner Buckwell Drive), Hassall Grove NSW 2761",-33.735368,150.836663,False
"63 Oxford & Cumberland Streets, Ingleburn NSW 2565",-33.99995,150.86794,False
"298 Stewart St (Cnr Rocket St), Bathurst NSW 2795",-33.419053,149.56761,True
"92 Mulgoa Road & Batt Street, Jamisontown NSW 2750",-33.766148,150.679467,True
"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",-33.907017,151.223796,True
"131 Anzac Parade & Todman Avenue, Kensington NSW 2033",-33.910008,151.223177,True
"494 Pacific Hwy, Killara NSW 2071",-33.771365,151.16108,True
"291 Rooty Hill Road North, Plumpton NSW 2761",-33.753565,150.840322,True
"529-531 Princes Highway & Bath Road, Kirrawee NSW 2232",-34.031465,151.076694,True
"542 Princes Highway, Kirrawee NSW 2232",-34.032382,151.075805,True
"21 Croudace & De Vitre Streets, Lambton NSW 2299",-32.910413,151.705176,True
"867-869 South Dowling Street, Waterloo NSW 2017",-33.901856,151.214387,True
"289 - 291 Turton Road & Young Street, New Lambton NSW 2305",-32.917854,151.724357,True
"44 Hume Highway & Knight Street, Lansvale South NSW 2166",-33.891605,150.964966,True
"238 Pacific Highway, Lindfield NSW 2070",-33.778889,151.168902,True
"95 Elizabeth Drive (Corner Park Road), Liverpool NSW 2170",-33.918366,150.916008,True
"770 Pacific Highway & Marks Point  Road, Marks Point NSW 2280",-33.056933,151.653592,True
"184-188 Hannell Street, Wickham NSW 2293",-32.913602,151.758251,True
"412-416 Maitland Road & Frith Street, Mayfield West NSW 2304",-32.892733,151.730031,True
"Corner Allison Crescent & Menai Road, Menai NSW 2234",-34.01574,151.013222,True
"24 Barrenjoey Road (Corner Darley Street East), Mona Vale NSW 2103",-33.676825,151.308231,True
"Summer St & Sale St, Orange NSW 2800",-33.283138,149.096248,True
"1497 Pittwater Road & Gondola Street, Narrabeen NSW 2101",-33.707435,151.296389,True
"400 Lane Cove Road, North Ryde NSW 2113",-33.784477,151.128964,True
"15-19 Aspen Street, Penrith South NSW 2750",-33.777277,150.710723,True
"326-328 Blaxland Road, Ryde NSW 2112",-33.802513,151.100336,True
"56 Windsor Road & Northmead Avenue, Northmead NSW 2152",-33.790961,150.997173,True
"81 Victoria Road & Macarthur Street, Parramatta NSW 2150",-33.808768,151.014716,True
"212-222 Andrews & Castlereagh Roads, Cranebrook NSW 2749",-33.730588,150.695165,True
"241 Waterworth Drive, Mount Annan NSW 2567",-34.049459,150.760159,True
"Corner Richmond Road & Dublin Street, Plumpton NSW 2761",-33.73984,150.860297,True
"83 Lalor Road & Quakers Hill Parkway, Quakers Hill NSW 2763",-33.727446,150.89666,True
"275 Canterbury Road & Mavis Street, Revesby NSW 2212",-33.936974,151.020888,True
"30 Bonds Road (Corner Romilly Street), Riverwood NSW 2210",-33.9523,151.058345,False
"293 West Botany Street (Corner Bestic Street), Rockdale NSW 2216",-33.949919,151.148692,False
"Corner Evans & 108 Rooty Hill Roads, Rooty Hill NSW 2766",-33.780217,150.85028,True
"222 King Georges Rd (Cnr Canarys Rd) (Opn 30/6/16), Lakemba NSW 2195",-33.933571,151.073569,True
"Corner Pacific Highway and Boundary Street, Roseville NSW 2069",-33.78742,151.17982,True
"300 Sandgate Road, Shortland NSW 2307",-32.886168,151.695396,True
"14 Thomas St, Wallsend NSW 2287",-32.906722,151.669265,True
"712 Pennant Hills Road, Carlingford NSW 2118",-33.763701,151.047355,True
"68-89 Ozone Street, Chinderah NSW 2487",-28.243748,153.557582,True
"178-184 Victoria Road (Corner Moodie Street), Rozelle NSW 2039",-33.862904,151.168131,True
"919 Victoria Road (Corner Hermitage Road), West Ryde NSW 2114",-33.80917,151.092804,True
"4 Endeavour & Bennett Roads, St Clair NSW 2759",-33.79414,150.789066,False
"157-159 Mona Vale Rd, ST IVES NSW 2075",-33.732665,151.156286,True
"Corner Forrester Road & Christie Street, St Marys NSW 2760",-33.747899,150.776737,False
"Corner Mamre Road & Wilson Street, St Marys NSW 2760",-33.778006,150.771942,False
"227 Military Rd, Cremorne NSW 2090",-33.830574,151.226235,True
"575-585 Liverpool Road, Strathfield South NSW 2136",-33.887371,151.074269,True
"184-186 The Entrance Rd & Gosford Ave, Long Jetty NSW 2261",-33.350815,151.492283,True
"3 Metella Road & Corner Cornelia Road, Toongabbie NSW 2146",-33.786881,150.946621,False
"1408 Pacific Highway (Corner Duff Street), Turramurra NSW 2074",-33.733062,151.126513,True
"1579 Pacific Highway (Corner Redleaf Avenue), Wahroonga NSW 2076",-33.719857,151.116805,True
"393 Hillsborough Road  (Corner Macquarie Road), Warners Bay NSW 2282",-32.965976,151.654297,True
"21 Boundary Road, Mortdale NSW 2223",-33.970669,151.073689,False
"Cnr Avenue & Cowles Roads, Mosman NSW 2088",-33.832039,151.237292,False
"169 Willoughby Road, Naremburn NSW 2065",-33.820024,151.201159,True
"4 Ryde Rd, Hunters Hill NSW 2110",-33.831761,151.141656,True
"272-278 Woodville Road, Guildford NSW 2161",-33.848168,150.996937,True
"1&3 Rodeo Rd (160 Camden Valley Way), Gregory Hills NSW 2557",-34.024252,150.759008,True
"54 - 56 Windsor Road, Kellyville NSW 2155",-33.712414,150.956801,True
"588 HIGH ST, PENRITH NSW 2750",-33.752554,150.691289,True
"137 Windsor Road, Northmead NSW 2152",-33.782288,150.997137,True
"138-142 Princes Highway, ALBION PARK RAIL NSW 2527",-34.559031,150.793658,True
"132-136 Sunnyholt Road, Blacktown NSW 2148",-33.753881,150.914618,True
"Corner Pacific Highway & London Drive, Wadalba NSW 2259",-33.265167,151.454858,False
"88 - 92 Clinton Street, Goulburn NSW 2580",-34.756539,149.712291,True
"2 - 4 Peterborough Avenue, Lake Illawarra NSW 2528",-34.54386,150.863624,True
"269 Stewart Street, Bathurst NSW 2795",-33.418148,149.568104,True
"Cnr Pacific Highway & Jersey Street, Asquith NSW 2077",-33.689447,151.106412,True
"74 Roberts Road, Greenacre NSW 2190",-33.892334,151.066348,True
"Henry Lawson Drive, Bankstown NSW 2200",-33.927402,150.98035,True
"322 Canterbury Road, Canterbury NSW 2193",-33.914974,151.113038,True
"Cnr George St and Burdett St, Hornsby NSW 2077",-33.702337,151.099325,True
"5 Bullecourt Avenue, Milperra NSW 2214",-33.937498,150.988951,True
"1721 Pittwater Road, Mona Vale NSW 2103",-33.680425,151.302357,True
"Cnr Barrenjoey & Darley Roads, Mona Vale NSW 2103",-33.676686,151.308878,True
"Cnr Victora Rd & Clyde St, Rydalmere NSW 2116",-33.810883,151.032896,True
"2 Princes Highway, St Peters NSW 2044",-33.909968,151.181031,True
"255-257 Stewart Street, Bathurst NSW 2795",-33.417435,149.568958,True
