address,long,lat
"190 Karrinyup Road, KARRINYUP , Western Australia",115.7758987,-31.8776806
"4 Chisham Ave, KWINANA TOWN CENTRE , Western Australia",115.8123954,-32.244183
"218 Main Street, OSBORNE PARK , Western Australia",115.8282144,-31.9060291
"2 Ridgewood Bvd, RIDGEWOOD , Western Australia",115.7249473,-31.6642939
"246 Leach Highway, MYAREE , Western Australia",115.8172354,-32.0460896
"349 Charles Street, NORTH PERTH , Western Australia",115.8510357,-31.9234194
"2 Warburton Ave, PADBURY , Western Australia",115.7655285,-31.811086
"214 Warnbro Sound Ave, WARNBRO , Western Australia",115.7620008,-32.358132
"222 Rockingham Road, SPEARWOOD , Western Australia",115.7827567,-32.1010754
"339 High Road, RIVERTON , Western Australia",115.8962915,-32.0386443
"2 Chalgrove Ave, ROCKINGHAM , Western Australia",115.7466503,-32.2844809
"9 Mends Street, SOUTH PERTH , Western Australia",115.8523863,-31.9726824
"810 Beeliar Drive, SUCCESS , Western Australia",115.8593059,-32.1277993
"261 Walter Road West, MORLEY , Western Australia",115.8944065,-31.8961967
"240 Cambridge Street, WEMBLEY , Western Australia",115.8114475,-31.9407457
"11 Scarborough Beach Road, SCARBOROUGH , Western Australia",115.7738031,-31.8939583
"1 Roy Earl Drive, COWARAMUP , Western Australia",115.1028205,-33.8558393
"7 Welshpool Road East, LESMURDIE , Western Australia",116.0470014,-32.0155012
"Lot 6 Great Eastern Highway, CUNDERDIN , Western Australia",117.3345629,-31.6430769
"44A South Coast Highway, DENMARK , Western Australia",117.435625,-34.96741
"19 Rodgers Street, DERBY , Western Australia",123.6521926,-17.3288677
"4 Wanneroo Road, YOKINE , Western Australia",115.8429905,-31.9023772
"15 South Western Highway, DONNYBROOK , Western Australia",115.8404084,-33.5795825
"238 Naturaliste Tce, DUNSBOROUGH , Western Australia",115.1059873,-33.6151791
"137 Dixon Road, EAST ROCKINGHAM , Western Australia",115.7875836,-32.2764283
"2 The Gateway, EDGEWATER , Western Australia",115.7738404,-31.763749
"484 Walter Road East, EMBLETON , Western Australia",115.9234673,-31.8950334
"2 Alex Wood Drive, FORRESTDALE , Western Australia",115.96600609594029,-32.141080650000006
"155 Hale Road, FORRESTFIELD , Western Australia",115.9995538,-31.9904816
"Lot 1662 Shenton Street, WEST END , Western Australia",,
"438 Hannan Street, KALGOORLIE , Western Australia",121.466493,-30.752875
"19 Coolibah Drive, GREENWOOD , Western Australia",115.8027998,-31.8338467
