address,ADDRESS,latitude,longitude
,31 South Western Highway,115.90540695384617,-32.936267123076924
,194 Great Eastern Highway,116.73663185,-31.635708299999997
,174 Balcatta Road,115.81747563549592,-31.862499994369575
,102 Princess Road,176.12584553602707,-37.68193882222224
,1/300 Joseph Banks Bvd,151.90174384772723,-24.208402628977275
,302-318 Collier Road,-121.27955460978723,38.21891724638299
,35 Port Kembla Drive,-86.56418673286382,36.20650592347415
,492 Marmion Street,113.67908381111111,-24.86624122962963
,270 Butler Bvd,-74.143454528169,39.888131928169
,25 Abernethy Road,0.0009912306436119032,51.45990217814612
,215 Campbell Road,,
,232 Orrong Road,115.9168587281957,-31.971594050135998
,2131 West Swan Road,115.973431204762,-31.897231882857152
,814 North Lake Road,115.84775262840232,-32.121920617278086
,2 Haydock Street,-2.6383315997101446,53.45336686251198
,303 Corfield Street,116.00962013846156,-32.09708442967033
,13 Lakes Road,-74.19168276591759,41.32792448352061
,1 Eaglemont Street,115.75145723328212,-32.521995004294496
,120 Yellowwood Ave,-78.29630522898552,35.71951031014493
,1256 Armadale Road,115.98971684911912,-32.14721821035241
,8 Buick Way,115.76709134195904,-31.75170862273392
,4 Church Street,152.88557502261273,-27.371622001081075
,105 Champion Drive,-97.36086684247786,30.986710072566378
,8 Mullingar Way,115.83781259721871,-31.805852541972225
,1969 Albany Highway,-123.24088270821645,44.586572104007985
,650 Marshall Road,-98.54313219444447,28.452713522222226
,324 The Broadway,0.14179804479637975,52.19898706943195
,296 Pinjarra Road,115.72271273588454,-32.53180757402758
,40-42 Great Northern Highway,118.6360657917526,-20.38002457835052
,8 Clayton Street,-122.44881663512605,37.773731071884214
,231 Morrison Road,-65.91454024600263,45.329968264089125
,162 Russell Street,-77.4736627348837,44.507116058914725
,235 Welshpool Road,-1.4543249193758123,52.94114456638489
,129 Dixon Road,-84.49315377964604,34.34481426814158
,481 Balfour Street,-73.69216809386107,40.68499291857834
,660 Beeliar Drive,115.80852881256561,-32.12898730013087
,125 Murdoch Road,-124.0505545731707,49.620123639024385
,79 Gnangara Road,115.97890114295447,-31.792167724090913
,929-931 Wanneroo Road,115.82621398749991,-31.860179610461934
,990 Wanneroo Road,115.82621398749991,-31.860179610461934
,332 Hale Road,-72.32959648980584,41.76146845242717
,86 South Coast Highway,-117.29124540834883,33.04842749821761
,3 Armadale Road,174.79440654538107,-36.884240925404114
,Lot 602 Forrest Highway,,
,Lot 601 Forrest Highway,115.71816834285713,-33.21049449642857
,39 Bussell Highway,115.6470228947368,-33.373480584689
,Lot 50 Mandurah Road,115.74384354067479,-32.5121196333925
,40 North West Coastal Highway,113.96023915999999,-25.352242979999996
,287 Place Road,-81.97974754117648,33.076787411764705
,3249 Albany Highway,-84.4117395888889,31.74155535555555
,80 Old Coast Road,-122.19421146487804,37.01199240195122
,59 Great Eastern Highway,116.73663185,-31.635708299999997
,69 Pinetree Gully Road,115.87779312299685,-32.060823303954216
,1443 Albany Highway,-122.61791328800001,44.78677853360001
,121 Collins Road,-2.659120261293635,53.73323028747434
,226 Morrison Road,151.10908353907885,-33.821465703026334
,40 Benara Road,115.93269293902067,-31.874914248516287
,941 Whitfords Ave,115.82377560656776,-31.802493393432215
,35 Albany Highway,-122.61395565064934,44.77457309805195
,848 Canning Highway,115.84194248527517,-32.0142313431498
,530 Canning Highway,115.81428252602235,-32.03423405
,100-102 Blackwood Ave,-119.65128613678411,36.807835239647574
,53 Erindale Road,115.80045120928465,-31.86845729086755
,Lot 191 Paparone Road,115.8227838490938,-32.31515389833837
,Lot 192 Leary Road,-64.23522386481478,46.70435772083334
,2/909 Mandurah Road,115.74384354067479,-32.5121196333925
,2 Illawarra Cres North,115.88087093547178,-31.82923449849055
,1084 Great Northern Highway,118.6360657917526,-20.38002457835052
