stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
9,Coles Express,Coles Express Baulkham Hills,"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.760143,150.99128,DL,Diesel,222.9,2022-12-08 14:00:10.626013,2022-12-08
9,Coles Express,Coles Express Baulkham Hills,"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.760143,150.99128,E10,Ethanol 94,164.9,2022-12-08 14:00:10.626013,2022-12-08
9,Coles Express,Coles Express Baulkham Hills,"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.760143,150.99128,P98,Premium 98,189.9,2022-12-08 14:00:10.626013,2022-12-08
9,Coles Express,Coles Express Baulkham Hills,"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.760143,150.99128,PDL,Premium Diesel,231.9,2022-12-08 14:00:10.626013,2022-12-08
9,Coles Express,Coles Express Baulkham Hills,"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.760143,150.99128,U91,Unleaded 91,166.9,2022-12-08 14:00:10.626013,2022-12-08
10,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,DL,Diesel,221.9,2022-12-08 14:00:10.626013,2022-12-08
10,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,E10,Ethanol 94,176.9,2022-12-08 14:00:10.626013,2022-12-08
10,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,P95,Premium 95,198.9,2022-12-08 14:00:10.626013,2022-12-08
10,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,P98,Premium 98,205.9,2022-12-08 14:00:10.626013,2022-12-08
10,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,U91,Unleaded 91,180.9,2022-12-08 14:00:10.626013,2022-12-08
11,Coles Express,Coles Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",-34.374407,150.896376,DL,Diesel,214.9,2022-12-08 14:00:10.626013,2022-12-08
11,Coles Express,Coles Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",-34.374407,150.896376,E10,Ethanol 94,179.9,2022-12-08 14:00:10.626013,2022-12-08
11,Coles Express,Coles Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",-34.374407,150.896376,P95,Premium 95,196.9,2022-12-08 14:00:10.626013,2022-12-08
11,Coles Express,Coles Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",-34.374407,150.896376,P98,Premium 98,204.9,2022-12-08 14:00:10.626013,2022-12-08
11,Coles Express,Coles Express Corrimal,"269-275 Princes Highway, Corrimal NSW 2518",-34.374407,150.896376,U91,Unleaded 91,181.9,2022-12-08 14:00:10.626013,2022-12-08
12,Coles Express,Coles Express Canley Vale,"65-99 Hume Highway, Canley Vale NSW 2166",-33.893006,150.960593,DL,Diesel,233.9,2022-12-08 14:00:10.626013,2022-12-08
12,Coles Express,Coles Express Canley Vale,"65-99 Hume Highway, Canley Vale NSW 2166",-33.893006,150.960593,E10,Ethanol 94,170.9,2022-12-08 14:00:10.626013,2022-12-08
12,Coles Express,Coles Express Canley Vale,"65-99 Hume Highway, Canley Vale NSW 2166",-33.893006,150.960593,P98,Premium 98,195.9,2022-12-08 14:00:10.626013,2022-12-08
13,Coles Express,Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",-33.925413,147.256084,DL,Diesel,228.9,2022-12-08 14:00:10.626013,2022-12-08
13,Coles Express,Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",-33.925413,147.256084,E10,Ethanol 94,184.9,2022-12-08 14:00:10.626013,2022-12-08
13,Coles Express,Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",-33.925413,147.256084,P98,Premium 98,209.9,2022-12-08 14:00:10.626013,2022-12-08
13,Coles Express,Coles Express Wyalong,"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",-33.925413,147.256084,U91,Unleaded 91,186.9,2022-12-08 14:00:10.626013,2022-12-08
14,Coles Express,Coles Express Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",-34.026377,151.120108,DL,Diesel,229.9,2022-12-08 14:00:10.626013,2022-12-08
14,Coles Express,Coles Express Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",-34.026377,151.120108,E10,Ethanol 94,168.9,2022-12-08 14:00:10.626013,2022-12-08
14,Coles Express,Coles Express Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",-34.026377,151.120108,P95,Premium 95,185.9,2022-12-08 14:00:10.626013,2022-12-08
14,Coles Express,Coles Express Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",-34.026377,151.120108,P98,Premium 98,193.9,2022-12-08 14:00:10.626013,2022-12-08
14,Coles Express,Coles Express Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",-34.026377,151.120108,PDL,Premium Diesel,238.9,2022-12-08 14:00:10.626013,2022-12-08
14,Coles Express,Coles Express Taren Point,"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",-34.026377,151.120108,U91,Unleaded 91,170.9,2022-12-08 14:00:10.626013,2022-12-08
15,BP,BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",-34.050956,151.150759,P95,Premium 95,185.9,2022-12-08 14:00:10.626013,2022-12-08
15,BP,BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",-34.050956,151.150759,P98,Premium 98,192.9,2022-12-08 14:00:10.626013,2022-12-08
15,BP,BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",-34.050956,151.150759,PDL,Premium Diesel,223.9,2022-12-08 14:00:10.626013,2022-12-08
15,BP,BP Cronulla,"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",-34.050956,151.150759,U91,Unleaded 91,169.9,2022-12-08 14:00:10.626013,2022-12-08
16,BP,BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",-34.031183,150.816282,E10,Ethanol 94,171.9,2022-12-08 14:00:10.626013,2022-12-08
16,BP,BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",-34.031183,150.816282,P98,Premium 98,196.9,2022-12-08 14:00:10.626013,2022-12-08
16,BP,BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",-34.031183,150.816282,PDL,Premium Diesel,219.9,2022-12-08 14:00:10.626013,2022-12-08
16,BP,BP Eagle Vale,"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",-34.031183,150.816282,U91,Unleaded 91,173.9,2022-12-08 14:00:10.626013,2022-12-08
17,BP,BP Glendenning,"646 Richmond Rd, Glendenning NSW 2761",-33.73762,150.853221,P95,Premium 95,184.9,2022-12-08 14:00:10.626013,2022-12-08
17,BP,BP Glendenning,"646 Richmond Rd, Glendenning NSW 2761",-33.73762,150.853221,P98,Premium 98,191.9,2022-12-08 14:00:10.626013,2022-12-08
17,BP,BP Glendenning,"646 Richmond Rd, Glendenning NSW 2761",-33.73762,150.853221,PDL,Premium Diesel,229.9,2022-12-08 14:00:10.626013,2022-12-08
17,BP,BP Glendenning,"646 Richmond Rd, Glendenning NSW 2761",-33.73762,150.853221,U91,Unleaded 91,167.9,2022-12-08 14:00:10.626013,2022-12-08
18,Coles Express,Coles Express St Clair,"247 Banks Drive (Cnr Mamre Rd), St Clair NSW 2759",-33.788333,150.771411,DL,Diesel,229.9,2022-12-08 14:00:10.626013,2022-12-08
18,Coles Express,Coles Express St Clair,"247 Banks Drive (Cnr Mamre Rd), St Clair NSW 2759",-33.788333,150.771411,P95,Premium 95,185.9,2022-12-08 14:00:10.626013,2022-12-08
18,Coles Express,Coles Express St Clair,"247 Banks Drive (Cnr Mamre Rd), St Clair NSW 2759",-33.788333,150.771411,P98,Premium 98,193.9,2022-12-08 14:00:10.626013,2022-12-08
18,Coles Express,Coles Express St Clair,"247 Banks Drive (Cnr Mamre Rd), St Clair NSW 2759",-33.788333,150.771411,U91,Unleaded 91,170.9,2022-12-08 14:00:10.626013,2022-12-08
19,Coles Express,Coles Express Singleton,"69-73 George St, Singleton NSW 2330",-32.5629,151.175536,DL,Diesel,232.9,2022-12-08 14:00:10.626013,2022-12-08
19,Coles Express,Coles Express Singleton,"69-73 George St, Singleton NSW 2330",-32.5629,151.175536,E10,Ethanol 94,177.9,2022-12-08 14:00:10.626013,2022-12-08
19,Coles Express,Coles Express Singleton,"69-73 George St, Singleton NSW 2330",-32.5629,151.175536,P95,Premium 95,194.9,2022-12-08 14:00:10.626013,2022-12-08
19,Coles Express,Coles Express Singleton,"69-73 George St, Singleton NSW 2330",-32.5629,151.175536,P98,Premium 98,202.9,2022-12-08 14:00:10.626013,2022-12-08
19,Coles Express,Coles Express Singleton,"69-73 George St, Singleton NSW 2330",-32.5629,151.175536,U91,Unleaded 91,179.9,2022-12-08 14:00:10.626013,2022-12-08
20,Coles Express,Coles Express Emerald Beach,"1140-1140A Solitary Islands Way, Emerald Beach NSW 2456",-30.16434,153.18148,P98,Premium 98,215.9,2022-12-08 14:00:10.626013,2022-12-08
20,Coles Express,Coles Express Emerald Beach,"1140-1140A Solitary Islands Way, Emerald Beach NSW 2456",-30.16434,153.18148,U91,Unleaded 91,192.9,2022-12-08 14:00:10.626013,2022-12-08
21,Coles Express,Coles Express Eastern Creek,"611 Great Western Hwy (Cnr Brabham Drv), Eastern Creek NSW 2766",-33.792159,150.871489,DL,Diesel,221.9,2022-12-08 14:00:10.626013,2022-12-08
21,Coles Express,Coles Express Eastern Creek,"611 Great Western Hwy (Cnr Brabham Drv), Eastern Creek NSW 2766",-33.792159,150.871489,E10,Ethanol 94,165.9,2022-12-08 14:00:10.626013,2022-12-08
21,Coles Express,Coles Express Eastern Creek,"611 Great Western Hwy (Cnr Brabham Drv), Eastern Creek NSW 2766",-33.792159,150.871489,P95,Premium 95,182.9,2022-12-08 14:00:10.626013,2022-12-08
21,Coles Express,Coles Express Eastern Creek,"611 Great Western Hwy (Cnr Brabham Drv), Eastern Creek NSW 2766",-33.792159,150.871489,P98,Premium 98,190.9,2022-12-08 14:00:10.626013,2022-12-08
21,Coles Express,Coles Express Eastern Creek,"611 Great Western Hwy (Cnr Brabham Drv), Eastern Creek NSW 2766",-33.792159,150.871489,U91,Unleaded 91,167.9,2022-12-08 14:00:10.626013,2022-12-08
22,Coles Express,Coles Express Gorokan,"67 Wallarah Rd (Cnr Edith St), Gorokan NSW 2263",-33.25654,151.507969,DL,Diesel,233.9,2022-12-08 14:00:10.626013,2022-12-08
22,Coles Express,Coles Express Gorokan,"67 Wallarah Rd (Cnr Edith St), Gorokan NSW 2263",-33.25654,151.507969,P95,Premium 95,198.9,2022-12-08 14:00:10.626013,2022-12-08
22,Coles Express,Coles Express Gorokan,"67 Wallarah Rd (Cnr Edith St), Gorokan NSW 2263",-33.25654,151.507969,P98,Premium 98,206.9,2022-12-08 14:00:10.626013,2022-12-08
22,Coles Express,Coles Express Gorokan,"67 Wallarah Rd (Cnr Edith St), Gorokan NSW 2263",-33.25654,151.507969,U91,Unleaded 91,183.9,2022-12-08 14:00:10.626013,2022-12-08
23,Coles Express,Coles Express Doyalson North,"260 Pacific Hwy (Cnr Basford Road), Doyalson North NSW 2259",-33.186301,151.548878,DL,Diesel,225.9,2022-12-08 14:00:10.626013,2022-12-08
23,Coles Express,Coles Express Doyalson North,"260 Pacific Hwy (Cnr Basford Road), Doyalson North NSW 2259",-33.186301,151.548878,E10,Ethanol 94,177.9,2022-12-08 14:00:10.626013,2022-12-08
23,Coles Express,Coles Express Doyalson North,"260 Pacific Hwy (Cnr Basford Road), Doyalson North NSW 2259",-33.186301,151.548878,P95,Premium 95,194.9,2022-12-08 14:00:10.626013,2022-12-08
23,Coles Express,Coles Express Doyalson North,"260 Pacific Hwy (Cnr Basford Road), Doyalson North NSW 2259",-33.186301,151.548878,P98,Premium 98,202.9,2022-12-08 14:00:10.626013,2022-12-08
24,Coles Express,Coles Express Woy Woy,"50-52 Ocean Beach Rd (Cnr Rawson St), Woy Woy NSW 2256",-33.493905,151.320693,DL,Diesel,235.9,2022-12-08 14:00:10.626013,2022-12-08
24,Coles Express,Coles Express Woy Woy,"50-52 Ocean Beach Rd (Cnr Rawson St), Woy Woy NSW 2256",-33.493905,151.320693,E10,Ethanol 94,185.9,2022-12-08 14:00:10.626013,2022-12-08
24,Coles Express,Coles Express Woy Woy,"50-52 Ocean Beach Rd (Cnr Rawson St), Woy Woy NSW 2256",-33.493905,151.320693,P95,Premium 95,202.9,2022-12-08 14:00:10.626013,2022-12-08
